Title,Story
The Tell-Tale Heart,nervous dreadfully nervous mad.
The Tell-Tale Heart,disease sharpen sense destroy dull.
The Tell-Tale Heart,sense hear acute.
The Tell-Tale Heart,hear thing heaven earth.
The Tell-Tale Heart,hear thing hell.
The Tell-Tale Heart,observe healthily calmly tell story.
The Tell-Tale Heart,impossible idea enter brain conceive haunt day night.
The Tell-Tale Heart,love old man.
The Tell-Tale Heart,eye vulture pale blue eye film.
The Tell-Tale Heart,fall blood run cold degree gradually mind life old man rid eye forever.
The Tell-Tale Heart,see wisely proceed caution foresight dissimulation go work.
The Tell-Tale Heart,kind old man week kill.
The Tell-Tale Heart,night midnight turn latch door open oh gently.
The Tell-Tale Heart,opening sufficient head dark lantern close close light shine thrust head.
The Tell-Tale Heart,oh laugh cunningly thrust.
The Tell-Tale Heart,move slowly slowly disturb old man sleep.
The Tell-Tale Heart,take hour place head opening far lie bed.
The Tell-Tale Heart,head room undo lantern cautiously oh cautiously cautiously hinge creak undo single thin ray fall vulture eye.
The Tell-Tale Heart,seven long night night midnight find eye close impossible work old man vex evil eye.
The Tell-Tale Heart,morning day break go boldly chamber speak courageously call hearty tone inquire pass night.
The Tell-Tale Heart,profound old man suspect night look sleep.
The Tell-Tale Heart,eighth night usually cautious open door.
The Tell-Tale Heart,watch minute hand move quickly.
The Tell-Tale Heart,night feel extent power sagacity.
The Tell-Tale Heart,scarcely contain feeling triumph.
The Tell-Tale Heart,think open door little little dream secret deed thought.
The Tell-Tale Heart,fairly chuckle idea hear move bed suddenly startle.
The Tell-Tale Heart,room black pitch thick darkness shutter close fasten fear robber know opening door keep push steadily steadily.
The Tell-Tale Heart,head open lantern thumb slip tin fastening old man spring bed cry.
The Tell-Tale Heart,hour muscle meantime hear lie.
The Tell-Tale Heart,sit bed listen night night hearken death watch wall.
The Tell-Tale Heart,presently hear slight groan know groan mortal terror.
The Tell-Tale Heart,groan pain grief oh.
The Tell-Tale Heart,low stifle sound arise soul overcharge awe.
The Tell-Tale Heart,night midnight world sleep well bosom deepening dreadful echo terror distract.
The Tell-Tale Heart,know old man feel pity chuckle heart.
The Tell-Tale Heart,know lie awake slight noise turn bed.
The Tell-Tale Heart,try fancy causeless.
The Tell-Tale Heart,say wind chimney mouse cross floor merely cricket single chirp.
The Tell-Tale Heart,yes try comfort supposition find vain.
The Tell-Tale Heart,vain death approach stalk black shadow envelop victim.
